tid	pid	seq_id	year	month	day	time	uid	text	signature	edit_uid	edit_year	edit_month	edit_day	edit_time
4	5	1	2014	1	13	23:57:50	3	<p>-----BEGIN PGP SIGNED MESSAGE-----<br />Hash: SHA1</p><p>Welcome to Evolution Community Forums<br />-----BEGIN PGP SIGNATURE-----<br />Version: GnuPG v2.0.14 (GNU/Linux)</p><p>iQEcBAEBAgAGBQJS1LNAAAoJEJinDOTrmcby1OgIAJ9k/mBiJHb3fRDHkcnorh0z<br />z+nNLIlUr1QeVCyIXF5ZXGQZCAwUrqlzJSgLXcYrP7zGOuRVnfxz4Zox+sCrpLW3<br />YYPwIDjCzOMyxCcLotdZoT0Djor9annSixvxfEXfgKz+vipDj2pbgp5z6ll7QY1R<br />vImmQ0xrxm5Ihp8+OZJyQEZl7MQ2qyx9wvew/O320J6cl27EjTygCUqsAb+SXxoV<br />moHv5xshMHxdgI6+lbdAB/99gctFWmbJXJv6haWDzoV1KLYvvVNpq71LZhrm2rJq<br />SuMnsAIk1ZLAmkphhIUYySt0tGsrM/h1cQXsIJp1HqM19ADZIrtEOX4g8WGgywE=<br />=oiKs<br />-----END PGP SIGNATURE-----</p>	<p>http://k5zq47j6wd3wdvjq.onion/profile/1/pgp</p>					
4	6	2	2014	1	14	00:06:04	5	<p>Thank you Verto for giving me the opportunity to be a part of this new marketplace. Let&#039;s make it a good one!</p>	<p>Public Key: http://pastebin.com/4EgeuhCk</p>					
4	7	3	2014	1	14	01:10:12	8	<p>Glad to see you again Verto.<br />It&#039;s not the same thing as TCF was but still better than the rest of the Deepweb.</p><p>Lets flourish this place :)</p>	"<p><strong><span style=""color: red"">|★|Cheapest USA FULLZ | NON-AVS|NON-VBV CC|★| &lt;--- Best for Carding (US/EU) </span></strong><br /><strong><span style=""color: green"">Listing--&gt;&gt;</span> http://i25c62nvu4cgeqyz.onion/viewtopic.php?id=15837</strong><br /><strong><span style=""color: red"">Paypal Funds - Instant Transfer with Invoicing System</span></strong><br /><strong><span style=""color: green"">Store--&gt;&gt;</span>http://k5zq47j6wd3wdvjq.onion/store/18</strong></p>"					
4	10	4	2014	1	14	01:23:45	11	<p>Sup sup is Patalach &quot;) change name New Marketplace New life :&quot;)</p></div></div></div></div>						
4	13	5	2014	1	14	01:29:50	8	<p>Hey patalach, Good to see you joining everyone here.</p><p>Does a marketplace needs an introductions section ?</p>	"<p><strong><span style=""color: red"">|★|Cheapest USA FULLZ | NON-AVS|NON-VBV CC|★| &lt;--- Best for Carding (US/EU) </span></strong><br /><strong><span style=""color: green"">Listing--&gt;&gt;</span> http://i25c62nvu4cgeqyz.onion/viewtopic.php?id=15837</strong><br /><strong><span style=""color: red"">Paypal Funds - Instant Transfer with Invoicing System</span></strong><br /><strong><span style=""color: green"">Store--&gt;&gt;</span>http://k5zq47j6wd3wdvjq.onion/store/18</strong></p>"					
4	14	6	2014	1	14	01:33:12	2	<p>Excellent idea! I&#039;ll add one straight away.</p>	<p>PGP: http://k5zq47j6wd3wdvjq.onion/profile/5/pgp</p>					
4	17	7	2014	1	14	02:18:16	13	<p>hey verto, Bigmeesh here, It&#039;s been a While since i surfaced on the deep, Patalach told me What happened. Can you PM me your pgp key please. Not even sure hoW to begin. I don&#039;t even recognize any usernames</p>	"<p><span style=""color: #3333CC"">True wealth comes from knowledge, and true knowledge comes from research, the wages of fraud is equivalent to money by the power of 10</span></p><p>PGP: http://k5zq47j6wd3wdvjq.onion/profile/30/pgp</p>"					
4	19	8	2014	1	14	02:32:19	12	"<div class=""quotebox""><cite>Bigmeesh wrote:</cite><blockquote><div><p>hey verto, Bigmeesh here, It&#039;s been a While since i surfaced on the deep, Patalach told me What happened. Can you PM me your pgp key please. Not even sure hoW to begin. I don&#039;t even recognize any usernames</p></div></blockquote></div><p>lol yeah it&#039;s being a long time man, old TCF users will start coming soon.</p></div></div></div></div>"	<p><strong> PGP Public Key </strong>: http://pastebin.com/25uQV7ZJ</p>					
4	28	9	2014	1	14	03:04:29	20	<p>Hello and welcome to all and all and hello to welcome.</p>	<p>Fuck the planet, &#039;til it spins on a broken axis</p>					
4	30	10	2014	1	14	03:06:56	17	<p>glad to see you again.</p>	"<p><strong><span style=""color: blue"">YUMMY STORE [More info &amp; Less Price]</span></strong>: k5zq47j6wd3wdvjq.onion/store/44<br /><strong><span style=""color: #ff0000"">YUMMY&#039;S HUGE Guide Pack + SUPPORT (Updated 03/03)</span></strong>: http://k5zq47j6wd3wdvjq.onion/listing/2760<br /><span style=""color: blue"">PGP</span>: http://k5zq47j6wd3wdvjq.onion/profile/44/pgp</p>"					
4	35	11	2014	1	14	03:16:06	21	<p>i am very happy to see new marketplace that i can actually rely on not taking my money<br />thank you verto!</p></div></div></div></div>						
4	36	12	2014	1	14	03:16:28	24	<p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p>	<p>Pārzināšana ir viss.</p>					
4	37	13	2014	1	14	03:16:36	25	<p>hey guys, really excited about evolution!</p></div></div></div></div>						
4	38	14	2014	1	14	03:17:52	20	"<div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>Oh this entire thing is definitely suspicious af.</p>"	<p>Fuck the planet, &#039;til it spins on a broken axis</p>					
4	39	15	2014	1	14	03:19:19	14	"<div class=""quotebox""><cite>realslimshady wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>Oh this entire thing is definitely suspicious af.</p></div></blockquote></div><p>Life is questionable.</p>"	<p><em>Professional Services by Mr. Mouse- http://pastebin.com/xLY8TSzS</em></p>					
4	40	16	2014	1	14	03:19:37	12	"<div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>No man, this is made by the real Verto, I know it looks/feels really weird but it is just something new...</p></div></div></div></div>"	<p><strong> PGP Public Key </strong>: http://pastebin.com/25uQV7ZJ</p>					
4	41	17	2014	1	14	03:23:33	24	<p>And who are these administrators who were never on TCF?</p>	<p>Pārzināšana ir viss.</p>					
4	42	18	2014	1	14	03:26:09	28	<p>Is this going to take place of tcf marketplace or will that come back with the board too?</p></div></div></div></div>						
4	43	19	2014	1	14	03:26:10	2	"<div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p>"	<p>PGP: http://k5zq47j6wd3wdvjq.onion/profile/5/pgp</p>					
4	44	20	2014	1	14	03:26:23	14	"<div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>And who are these administrators who were never on TCF?</p></div></blockquote></div><p>That&#039;s a good question.<br />I asked d33 and he had no idea.</p>"	<p><em>Professional Services by Mr. Mouse- http://pastebin.com/xLY8TSzS</em></p>					
4	45	21	2014	1	14	03:27:52	24	"<div class=""quotebox""><cite>MrMouse wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>And who are these administrators who were never on TCF?</p></div></blockquote></div><p>That&#039;s a good question.<br />I asked d33 and he had no idea.</p></div></blockquote></div><p>I don&#039;t like this. Something smells.</p>"	<p>Pārzināšana ir viss.</p>					
4	46	22	2014	1	14	03:27:59	2	"<div class=""quotebox""><cite>h4t3 wrote:</cite><blockquote><div><p>Is this going to take place of tcf marketplace or will that come back with the board too?</p></div></blockquote></div><p>This will mostly likely replace the former marketplace on TCF.</p>"	<p>PGP: http://k5zq47j6wd3wdvjq.onion/profile/5/pgp</p>					
4	47	23	2014	1	14	03:30:26	27	"<div class=""quotebox""><cite>Kimble wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p></div></blockquote></div><p>To play devil&#039;s advocate: Since whatever website was originally at that URL was compromised and since the announcement isn&#039;t PGP signed with a known trusted key or anything, it&#039;s hardly a definitive showing that the person who originally compromised the site isn&#039;t the same person running this.</p></div></div></div></div>"						
4	49	24	2014	1	14	03:33:25	14	"<div class=""quotebox""><cite>TheDearthStar wrote:</cite><blockquote><div><div class=""quotebox""><cite>Kimble wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p></div></blockquote></div><p>To play devil&#039;s advocate: Since whatever website was originally at that URL was compromised and since the announcement isn&#039;t PGP signed with a known trusted key or anything, it&#039;s hardly a definitive showing that the person who originally compromised the site isn&#039;t the same person running this.</p></div></blockquote></div><p>You got a point, I only got my link to Evolution from d33.</p>"	<p><em>Professional Services by Mr. Mouse- http://pastebin.com/xLY8TSzS</em></p>					
4	50	25	2014	1	14	03:37:09	2	"<div class=""quotebox""><cite>MrMouse wrote:</cite><blockquote><div><div class=""quotebox""><cite>TheDearthStar wrote:</cite><blockquote><div><div class=""quotebox""><cite>Kimble wrote:</cite><blockquote><div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p></div></blockquote></div><p>To play devil&#039;s advocate: Since whatever website was originally at that URL was compromised and since the announcement isn&#039;t PGP signed with a known trusted key or anything, it&#039;s hardly a definitive showing that the person who originally compromised the site isn&#039;t the same person running this.</p></div></blockquote></div><p>You got a point, I only got my link to Evolution from d33.</p></div></blockquote></div><p>A PGP signed message will be posted soon.</p>"	<p>PGP: http://k5zq47j6wd3wdvjq.onion/profile/5/pgp</p>					
4	51	26	2014	1	14	03:38:07	20	"<div class=""quotebox""><cite>TheDearthStar wrote:</cite><blockquote><div><div class=""quotebox""><cite>Kimble wrote:</cite><blockquote><div><div class=""quotebox""><cite>Bluekilo wrote:</cite><blockquote><div><p>Interesting, although I have a strange feeling about this. Something doesn&#039;t seem right here. What if the individual responsible for the TCF intrusion set this site up as well to phish information?</p></div></blockquote></div><p>An official announcement has been posted on the TCF website for those in doubt. (You know the address ;))</p></div></blockquote></div><p>To play devil&#039;s advocate: Since whatever website was originally at that URL was compromised and since the announcement isn&#039;t PGP signed with a known trusted key or anything, it&#039;s hardly a definitive showing that the person who originally compromised the site isn&#039;t the same person running this.</p></div></blockquote></div><p>Could be as simple as verifying Verto on this forum as Verto from TCF via PGP. Someone with his old PGP key could do this.<br />Doesn&#039;t explain who the new mods are or where this marketplace came from but maybe someone can confirm this was in the works.</p>"	<p>Fuck the planet, &#039;til it spins on a broken axis</p>					
4	52	27	2014	1	14	03:39:24	30	<p>Nice to see this new place :) Cheers and best to everyone.</p></div></div></div></div>						
4	54	28	2014	1	14	03:45:47	33	<p>Hey all. This is going to take some getting used to lol. from going from dark page of TCF to bright white of evolution. But god bless verto for his hard work</p></div></div></div></div>						
4	55	29	2014	1	14	03:51:04	17	<p>a few days ago when TCF was down for a first time, mr verto says that some kid tried to steal escrow BTC&#039;s as i remember. now at old domain, again mr verto says that &#039;i&#039;ll give back escrow funds&#039; </p><p>if Mr. Verto was fake why he give the people their money back? so i dont think he&#039;s fake or another person. but i really really wonder about new administrator&#039;s except mr. verto and d33. sorry for english</p>	"<p><strong><span style=""color: blue"">YUMMY STORE [More info &amp; Less Price]</span></strong>: k5zq47j6wd3wdvjq.onion/store/44<br /><strong><span style=""color: #ff0000"">YUMMY&#039;S HUGE Guide Pack + SUPPORT (Updated 03/03)</span></strong>: http://k5zq47j6wd3wdvjq.onion/listing/2760<br /><span style=""color: blue"">PGP</span>: http://k5zq47j6wd3wdvjq.onion/profile/44/pgp</p>"	17	2014	1	14	03:51:37
4	56	30	2014	1	14	03:58:18	36	<p>Great! I hope this grows like TCF!</p>	<p>Icq: 670544822</p>					
4	57	31	2014	1	14	03:59:07	3	<p>Ok I expected some skepticism. The initial post is now PGP signed. Anyone who had my PGP key which has been posted on TCF since June 2012 can verify it. Those who had my ICQ and Jabber contacts can also contact me on there. A message was posted on http://nifgk5szbodg7qbo.onion which only I hold the private key to. </p><p>I accept the timing is a bit strange but this project has been in the works for several months. It just happens that this is now finished and TCF restoration is not complete at this time, however, I&#039;m working on getting it back up asap.</p>	<p>http://k5zq47j6wd3wdvjq.onion/profile/1/pgp</p>					
