Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	3	0.94117	False	14604	2	1687939	487
2	3	0.5	True	13159	24	1136229	4
2	3	0.5	True	12609	21	1135679	4
2	3	0.5	True	12500	18	1135570	4
2	3	0.5	True	5722	5	1128792	4
2	3	0.97644	False	5722	5	1128792	4
2	5	0.2	False	703881	5	2164768	297
2	5	0.99976	False	58	2	1653439	482
2	5	0.70035	False	88687	2	1396527	165
2	5	0.97214	False	6783	3	1380397	197
2	5	0.74677	False	72130	7	1380397	197
2	5	0.99577	False	1016	1	1307625	188
2	5	0.99766	False	562	1	1181888	27
2	5	0.99762	False	570	2	1180407	48
2	5	0.97845	False	5228	4	1128792	4
2	7	0.87727	False	31765	3	1523239	160
2	7	0.87704	False	31828	4	1523239	160
2	7	0.5	True	41791	1	1522801	360
2	7	0.84238	False	41791	1	1522801	360
2	7	0.5	True	41588	21	1522526	359
2	7	0.5	True	41504	20	1522442	359
2	8	0.92528	False	18737	3	1349661	226
2	8	0.97988	False	4876	2	1256713	154
2	8	0.5	True	252	1	1129497	6
2	8	0.99895	False	252	1	1129497	6
2	8	0.99916	False	202	1	1128792	4
2	8	0.99426	False	1380	3	1128792	4
2	8	0.5	True	648	1	1128275	5
2	8	0.9973	False	648	1	1128275	5
2	9	0.2227	False	517544	2	2164768	297
2	9	0.89256	False	27522	4	1687939	487
2	9	0.96228	False	9240	4	1455863	160
2	9	0.89086	False	27990	1	1256692	137
2	9	0.98523	False	3567	1	1200523	101
2	11	0.99764	False	567	2	1128792	4
2	12	0.99519	False	1154	2	1529891	177
2	12	0.98275	False	4174	1	1433278	303
2	12	0.98855	False	2761	1	1431734	307
2	12	0.99209	False	1902	1	1431114	297
2	12	0.70097	False	88459	1	1396527	165
2	12	0.77126	False	63913	1	1351386	198
2	12	0.99569	False	1035	1	1350724	227
2	12	0.99546	False	1090	2	1349661	226
2	12	0.99975	False	59	1	1285339	193
2	12	0.5	True	15988	4	1285251	170
2	12	0.99504	False	1191	1	1285251	170
2	12	0.93581	False	15988	4	1285251	170
2	12	0.96685	False	8099	1	1277139	165
2	12	0.95135	False	12000	4	1277139	165
2	12	0.99042	False	2306	1	1274863	174
2	12	0.98747	False	3023	3	1274863	174
2	12	0.98439	False	3772	1	1259704	151
2	12	0.99329	False	1613	1	1258224	60
2	12	0.5	True	42933	3	1256812	123
2	12	0.8431	False	41577	1	1256812	123
2	12	0.5	True	999	1	1214878	123
2	12	0.99584	False	999	1	1214878	123
2	12	0.97555	False	5941	1	1201314	29
2	12	0.97611	False	5804	1	1201075	79
2	12	0.5	True	3724	2	1200523	101
2	12	0.98459	False	3724	2	1200523	101
2	12	0.9887	False	2724	3	1192837	84
2	12	0.99213	False	1894	3	1192378	86
2	12	0.5	True	38781	4	1181408	20
2	12	0.98209	False	4335	1	1181408	20
2	12	0.85267	False	38781	4	1181408	20
2	12	0.98982	False	2453	3	1180407	48
2	12	0.99836	False	393	3	1135570	4
2	12	0.5	True	428	1	1132492	7
2	12	0.99821	False	428	1	1132492	7
2	14	0.5	True	1951	1	2240777	956
2	14	0.99189	False	1951	1	2240777	956
2	14	0.81537	False	49907	7	1523239	160
2	14	0.96318	False	9016	3	1277139	165
2	14	0.9931	False	1659	1	1201426	102
2	14	0.99888	False	269	1	1192837	84
2	14	0.99958	False	101	1	1192378	86
2	14	0.86943	False	33973	3	1181408	20
2	14	0.5	True	28964	2	1178900	31
2	14	0.88733	False	28964	2	1178900	31
2	14	0.99907	False	224	1	1136229	4
2	14	0.9996	False	96	2	1135679	4
2	14	0.99829	False	411	4	1135570	4
2	15	0.5	True	40773	1	2130920	830
2	15	0.84584	False	40773	1	2130920	830
2	16	0.99812	False	450	1	2566047	1144
2	16	0.82479	False	47038	6	2566047	1144
2	16	0.5	True	1548	1	1805739	606
2	16	0.99356	False	1548	1	1805739	606
2	16	0.99732	False	642	1	1805020	496
2	16	0.5	True	5081	2	1431734	307
2	16	0.97905	False	5081	2	1431734	307
2	16	0.5	True	93373	9	1380397	197
2	16	0.99203	False	1917	1	1380397	197
2	16	0.99159	False	2023	2	1380397	197
2	16	0.94461	False	13719	4	1380397	197
2	16	0.68789	False	93373	9	1380397	197
2	16	0.5	True	20954	4	1305600	193
2	16	0.92699	False	18288	1	1305600	193
2	16	0.5	True	693	2	1285339	193
2	16	0.99711	False	693	2	1285339	193
2	16	0.5	True	4270	1	1199982	99
2	16	0.98236	False	4270	1	1199982	99
2	16	0.5	True	32550	4	1185190	36
2	16	0.99886	False	273	1	1185190	36
2	16	0.87447	False	32550	4	1185190	36
2	16	0.87682	False	31890	6	1181888	27
2	16	0.5	True	27422	1	1180826	38
2	16	0.89293	False	27422	1	1180826	38
2	16	0.88937	False	28400	1	1178900	31
2	16	0.5	True	521	1	1134085	10
2	16	0.99783	False	521	1	1134085	10
2	17	0.5	True	29639	2	2639984	1228
2	17	0.89485	False	26895	1	2639984	1228
2	17	0.88489	False	29639	2	2639984	1228
2	17	0.84622	False	40661	5	1523239	160
2	17	0.99519	False	1154	9	1135570	4
2	19	0.5	True	2963	2	1183693	68
2	19	0.98772	False	2963	2	1183693	68
2	20	0.60568	False	127367	10	1975034	634
2	20	0.5	True	16883	2	1869255	640
2	20	0.93237	False	16883	2	1869255	640
2	20	0.96323	False	9002	7	1868273	644
2	20	0.93157	False	17091	2	1258224	60
2	20	0.99792	False	498	5	1135570	4
2	20	0.99458	False	1301	10	1135570	4
2	21	0.99748	False	604	8	1135570	4
2	22	0.83977	False	42561	2	2640911	827
2	22	0.95684	False	10608	2	1185190	36
2	24	0.5	True	135665	19	1975034	634
2	24	0.96715	False	8023	2	1975034	634
2	24	0.79616	False	55889	3	1975034	634
2	24	0.5	True	461	1	1140236	16
2	24	0.99808	False	461	1	1140236	16
2	24	0.99997	False	7	1	1135679	4
2	24	0.99934	False	157	2	1135570	4
2	24	0.99757	False	582	7	1135570	4
2	25	0.99761	False	574	6	1135570	4
2	27	0.5	True	28588	2	1350724	227
